conflict_country,iso3c,med_loc_x,med_loc_y,latitude_con,longitude_con,dist_mediation_conflict,mediation_count,agreements_sum
Israel,ISR,36.2919,33.5131,31.4329786422529,34.99113819680111,261.07315784822856,3,0
Israel,ISR,37.6172,55.7558,31.4329786422529,34.99113819680111,2710.230740782316,9,0
Israel,ISR,37.9295,26.6031,31.4329786422529,34.99113819680111,606.9779346439109,1,0
Israel,ISR,39.1728,21.5433,31.4329786422529,34.99113819680111,1172.0549387828191,4,0
Israel,ISR,39.8233,21.4225,31.4329786422529,34.99113819680111,1208.9011595251313,1,0
Israel,ISR,4.3525,50.8467,31.4329786422529,34.99113819680111,3314.574439550308,12,0
Israel,ISR,44.3661,33.3153,31.4329786422529,34.99113819680111,906.2500091782802,1,0
Israel,ISR,45,25,31.4329786422529,34.99113819680111,1212.9135251254854,5,0
Israel,ISR,46.7167,24.6333,31.4329786422529,34.99113819680111,1375.9760701310881,25,0
Israel,ISR,47.6581,29.3375,31.4329786422529,34.99113819680111,1238.6439746930048,2,0
Israel,ISR,49.1089,55.7964,31.4329786422529,34.99113819680111,2923.9004670029917,3,0
Israel,ISR,50.0393,26.2361,31.4329786422529,34.99113819680111,1575.7028670230459,1,0
Israel,ISR,50.55,26,31.4329786422529,34.99113819680111,1633.0539834078415,1,0
Israel,ISR,50.5775,26.225,31.4329786422529,34.99113819680111,1625.0792161107495,1,0
Israel,ISR,51.25,25.5,31.4329786422529,34.99113819680111,1720.3648877872881,3,0
Israel,ISR,51.3889,35.6892,31.4329786422529,34.99113819680111,1591.8489749307112,8,0
Israel,ISR,51.5333,25.2867,31.4329786422529,34.99113819680111,1756.404319840483,54,0
Israel,ISR,54,24,31.4329786422529,34.99113819680111,2043.6733222228352,7,0
Israel,ISR,54.3667,24.4667,31.4329786422529,34.99113819680111,2053.174794715255,3,0
Israel,ISR,55.2972,25.2631,31.4329786422529,34.99113819680111,2101.085846852168,2,0
Israel,ISR,58.38,37.9375,31.4329786422529,34.99113819680111,2254.189174106161,1,0
Israel,ISR,58.5922,23.6139,31.4329786422529,34.99113819680111,2480.930042343445,3,0
Israel,ISR,71.4222,51.1472,31.4329786422529,34.99113819680111,3696.0188887675195,1,0
Israel,ISR,75.1478,33.7353,31.4329786422529,34.99113819680111,3755.2474455439283,2,0
Libya,LBY,-5,32,27.016716392720838,18.06679321821868,2298.7710326442007,1,0
Libya,LBY,-55,-10,27.016716392720838,18.06679321821868,8875.57925737337,1,0
Libya,LBY,-6.8416,34.0209,27.016716392720838,18.06679321821868,2506.0693678772136,1,0
Libya,LBY,-64.6833,10.1403,27.016716392720838,18.06679321821868,8795.894807194263,1,0
Libya,LBY,-7.156,33.7875,27.016716392720838,18.06679321821868,2529.736910603491,3,1
Libya,LBY,-73.9249,40.6943,27.016716392720838,18.06679321821868,8264.061521548945,5,0
Libya,LBY,-77.0163,38.9047,27.016716392720838,18.06679321821868,8585.94718611927,3,0
Libya,LBY,-82.6652,27.7931,27.016716392720838,18.06679321821868,9609.870733900865,1,0
